RepRapFirmware height map file v2, min error 0.425, max error 1.332, mean 0.860, deviation 0.248
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,-170.00,169.00,-170.00,170.00,-1.00,56.49,56.66,7,7
  0.545,  0.695,  0.786,  0.810,  0.724,  0.621,  0.548
  0.607,  0.845,  0.982,  1.001,  0.921,  0.786,  0.561
  0.721,  1.047,  1.254,  1.266,  1.196,  0.982,  0.692
  0.731,  1.052,  1.238,  1.332,  1.223,  0.980,  0.678
  0.723,  1.028,  1.219,  1.257,  1.113,  0.929,  0.600
  0.651,  0.879,  1.086,  1.144,  1.056,  0.884,  0.607
  0.480,  0.572,  0.714,  0.774,  0.700,  0.475,  0.425
