RepRapFirmware height map file v2, min error 0.189, max error 1.013, mean 0.584, deviation 0.221
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,-170.00,169.00,-170.00,170.00,-1.00,56.49,56.66,7,7
  0.504,  0.490,  0.378,  0.361,  0.321,  0.421,  0.507
  0.445,  0.636,  0.688,  0.654,  0.585,  0.529,  0.373
  0.483,  0.810,  0.968,  0.943,  0.890,  0.693,  0.403
  0.443,  0.809,  0.927,  1.013,  0.914,  0.704,  0.354
  0.489,  0.779,  0.905,  0.915,  0.813,  0.623,  0.287
  0.537,  0.651,  0.730,  0.737,  0.677,  0.610,  0.475
  0.416,  0.326,  0.274,  0.211,  0.189,  0.249,  0.479
