RepRapFirmware height map file v2 generated at 2022-10-22 22:03, min error -0.084, max error 0.298, mean 0.063, deviation 0.093
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,-160.00,159.00,-160.00,160.00,-1.00,79.74,79.99,5,5
  0.010,0.013,0.074,0.165,0.298
  0.000,-0.010,0.041,0.099,0.225
  0.008,0.032,0.000,0.059,0.189
  0.045,0.054,0.027,0.092,0.236
  -0.042,-0.028,-0.026,-0.084,0.102
